Comment,Designator,Footprint,JLCPCB Part #
XB8089D,IC5,SOIC127P605X175-9N,C79928
"D,Schottky,IEC","D4,D5",D_SOD-323_HandSoldering,C2762697
CP2615-xx-xM,U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,C1521596
1uF,"C12,C13,C14,C15,C17,C19,C23,C5,C7",1206,C318771
SP0503BAHT,D1,SOT-143,C7074
BQ24093DGQR,IC3,SOP50P490X110-11N,C2871988
10k,"R15,R16,R19,R20,R21,R22,R23,R24,R25,R29,R30",1206,C871997
AP63205WU,U2,TSOT-23-6,C2071056
TPS259631DDAR,IC4,SOIC127P600X170-9N,C2155778
.1uF,"C16,C20,C24,C25,C27",1206,C2168319
WM8524CGEDT,IC1,SOP65P640X120-16N,C146242
560,"R17,R18",1206,C872823
MAX97220AETE+T,IC2,QFN50P300X300X80-17N,C2682711
